name,x,y,z,vx,vy,vz,epoch,reduc_epoch,part_idx
153201 (2000 WO107),-0.3670492619981559,-0.9256996421359228,0.002077933840402067,-0.004776567900341226,0.01565127171146426,0.001366786164248968,2459182.33693,0.007030000444501638,0
153201 (2000 WO107),-0.3670474946626704,-0.9257054330804995,0.00207742813007821,-0.004776608304847489,0.01565116882147132,0.001366786421572209,2459182.3373,0.007400000002235174,0
153201 (2000 WO107),-0.3670457273100144,-0.9257112239942843,0.002076922419023478,-0.004776648708654076,0.01565106593209963,0.001366786678832493,2459182.33767,0.007770000025629997,0
153201 (2000 WO107),-0.3670439599424026,-0.9257170148700216,0.002076416707871878,-0.004776689111710412,0.01565096304347813,0.001366786936029492,2459182.33804,0.00814000004902482,0
153201 (2000 WO107),-0.3670421925598418,-0.9257228057076904,0.002075910996625052,-0.004776729514016402,0.01565086015560719,0.001366787193163204,2459182.33841,0.008510000072419643,0
153201 (2000 WO107),-0.3670404251623388,-0.925728596507269,0.002075405285285043,-0.00477676991557195,0.01565075726848719,0.001366787450233628,2459182.33878,0.008880000095814466,0
153201 (2000 WO107),-0.3670386577498874,-0.9257343872687799,0.002074899573849759,-0.004776810316377259,0.01565065438211775,0.001366787707240761,2459182.33915,0.00925000011920929,0
153201 (2000 WO107),-0.3670368903224814,-0.9257401779922444,0.002074393862317656,-0.004776850716432533,0.01565055149649848,0.001366787964184603,2459182.33952,0.009620000142604113,0
153201 (2000 WO107),-0.3670351228801273,-0.925745968677641,0.002073888150690476,-0.004776891115737674,0.01565044861162978,0.00136678822106515,2459182.33989,0.009990000165998936,0
153201 (2000 WO107),-0.3670333554228322,-0.9257517593249494,0.002073382438970114,-0.00477693151429259,0.015650345727512,0.001366788477882399,2459182.34026,0.010360000189393759,0
153201 (2000 WO107),-0.3670315879505899,-0.9257575499341905,0.002072876727154774,-0.00477697191209748,0.01565024284414478,0.001366788734636353,2459182.34063,0.010730000212788582,0
153201 (2000 WO107),-0.367029868233872,-0.9257631840027918,0.002072384683235564,-0.004777011217341942,0.01565014274214995,0.001366788984390199,2459182.34099,0.011090000160038471,0
153201 (2000 WO107),-0.3670245656838295,-0.9257805554910256,0.002070867546940686,-0.004777132404068366,0.01564983409874202,0.001366789754087468,2459182.3421,0.01220000023022294,0
153201 (2000 WO107),-0.3670227981372521,-0.9257863459109861,0.002070361834651263,-0.004777172798144354,0.01564973121910689,0.001366790010526612,2459182.34247,0.012570000253617764,0
153201 (2000 WO107),-0.3670210305757354,-0.92579213629286,0.002069856122269004,-0.004777213191470491,0.01564962834022269,0.001366790266902444,2459182.34284,0.012940000277012587,0
153201 (2000 WO107),-0.3670157278015013,-0.9258095072101352,0.002068338984549183,-0.004777334366951514,0.0156493197080726,0.001366791035650067,2459182.34395,0.014050000347197056,0
153201 (2000 WO107),-0.3670139601802048,-0.9258152974397506,0.002067833271787517,-0.004777374757279373,0.01564921683219058,0.001366791291772642,2459182.34432,0.014420000370591879,0
153201 (2000 WO107),-0.3670121925439641,-0.925821087631302,0.002067327558931173,-0.004777415146857797,0.0156491139570591,0.001366791547831895,2459182.34469,0.014790000393986702,0
153201 (2000 WO107),-0.3670104248927727,-0.9258268777848111,0.002066821845978161,-0.004777455535686989,0.01564901108267778,0.001366791803827831,2459182.34506,0.015160000417381525,0
153201 (2000 WO107),-0.3670086572266376,-0.9258326679002566,0.00206631613293047,-0.004777495923766853,0.015648908209047,0.001366792059760442,2459182.34543,0.015530000440776348,0
153201 (2000 WO107),-0.3670068895477872,-0.9258384579703418,0.002065810420425544,-0.004777536311046541,0.01564880533629643,0.001366792315629405,2459182.3458,0.015899999998509884,0
153201 (2000 WO107),-0.367005121851772,-0.9258442480096403,0.002065304707190391,-0.004777576697627763,0.01564870246416711,0.001366792571435364,2459182.34617,0.016270000021904707,0
