name,x,y,z,vx,vy,vz,epoch,reduc_epoch,part_idx
153201 (2000 WO107),0.02196091089050191,-0.0192546552202689,0.002036342499633798,0.01130847230038524,0.008935350605944824,0.001367606291239968,2459182.33656,0.006660000421106815,0
153201 (2000 WO107),0.02195672675482499,-0.01925796130021396,0.00203583648522346,0.01130847591713926,0.008935350703291932,0.001367606569340543,2459182.33693,0.007030000444501638,0
153201 (2000 WO107),0.02195254262306789,-0.01926126737604052,0.002035330471346302,0.01130847953400024,0.008935350801664268,0.001367606847374126,2459182.3373,0.007400000002235174,0
153201 (2000 WO107),0.02194835848471445,-0.01926457345605869,0.00203482445673028,0.01130848315097722,0.008935350901062076,0.001367607125341419,2459182.33767,0.007770000025629997,0
153201 (2000 WO107),0.02194417434500704,-0.01926787953612554,0.00203431844200948,0.01130848676806564,0.008935351001485237,0.001367607403242066,2459182.33804,0.00814000004902482,0
153201 (2000 WO107),0.02193999020396129,-0.01927118561622998,0.002033812427185983,0.01130849038526541,0.008935351102933734,0.001367607681076067,2459182.33841,0.008510000072419643,0
153201 (2000 WO107),0.0219358060615928,-0.01927449169635992,0.002033306412261562,0.01130849400257646,0.008935351205407562,0.001367607958843419,2459182.33878,0.008880000095814466,0
153201 (2000 WO107),0.02193162191788592,-0.01927779777652814,0.00203280039723436,0.01130849761999877,0.00893535130890673,0.001367608236544118,2459182.33915,0.00925000011920929,0
153201 (2000 WO107),0.02192743777282482,-0.01928110385674671,0.002032294382102514,0.01130850123753228,0.00893535141343123,0.00136760851417817,2459182.33952,0.009620000142604113,0
153201 (2000 WO107),0.02192325362642538,-0.01928440993700425,0.002031788366868028,0.01130850485517693,0.008935351518981055,0.001367608791745563,2459182.33989,0.009990000165998936,0
153201 (2000 WO107),0.021919069478703,-0.01928771601728911,0.002031282351532698,0.01130850847293266,0.008935351625556202,0.001367609069246297,2459182.34026,0.010360000189393759,0
153201 (2000 WO107),0.02191488532964189,-0.01929102209761338,0.002030776336094703,0.01130851209079941,0.008935351733156663,0.001367609346680375,2459182.34063,0.010730000212788582,0
153201 (2000 WO107),0.02191081426523641,-0.01929423882379682,0.002030283996751548,0.01130851561099179,0.008935351838833115,0.001367609616552195,2459182.34099,0.011090000160038471,0
153201 (2000 WO107),0.02189826180609821,-0.0193041570651426,0.002028765949520488,0.01130852646558137,0.008935352170779188,0.001367610448259858,2459182.3421,0.01220000023022294,0
153201 (2000 WO107),0.02189407765036405,-0.01930746314568162,0.002028259933570395,0.01130853008399951,0.00893535228347849,0.001367610725362411,2459182.34247,0.012570000253617764,0
153201 (2000 WO107),0.02188989349330694,-0.01931076922625057,0.002027753917519714,0.01130853370252835,0.008935352397203087,0.001367611002398288,2459182.34284,0.012940000277012587,0
153201 (2000 WO107),0.02187734101407036,-0.01932068746823669,0.002026235868749086,0.01130854455877862,0.008935352744528639,0.001367611833105877,2459182.34395,0.014050000347197056,0
153201 (2000 WO107),0.02187315685165747,-0.01932399354897673,0.002025729852288532,0.01130854817774977,0.008935352862354399,0.001367612109875047,2459182.34432,0.014420000370591879,0
153201 (2000 WO107),0.02186897268790536,-0.0193272996297608,0.002025223835725642,0.01130855179683137,0.008935352981205435,0.001367612386577535,2459182.34469,0.014790000393986702,0
153201 (2000 WO107),0.02186478852279863,-0.01933060571060105,0.002024717819058459,0.01130855541602337,0.008935353101081758,0.001367612663213341,2459182.34506,0.015160000417381525,0
153201 (2000 WO107),0.02186060435635276,-0.01933391179148589,0.002024211802288953,0.01130855903532571,0.008935353221983355,0.001367612939782459,2459182.34543,0.015530000440776348,0
153201 (2000 WO107),0.02185642019384147,-0.01933721786824871,0.00202370578605496,0.01130856265473376,0.008935353343910069,0.00136761321628454,2459182.3458,0.015899999998509884,0
153201 (2000 WO107),0.02185223602473288,-0.01934052394921166,0.002023199769082752,0.0113085662742566,0.008935353466862203,0.001367613492720279,2459182.34617,0.016270000021904707,0
153201 (2000 WO107),0.0218439807690702,-0.01934704675707562,0.002022201411073215,0.01130857341579968,0.00893535371245031,0.001367614037924864,2459182.3469,0.01699999999254942,0
