epoch,mag,mag_err,weight,curve_idx
2459182.48571,13.383,0.038,1.0,0
2459182.48608,13.391,0.037,1.0,0
2459182.48645,13.331,0.036,1.0,0
2459182.48682,13.244,0.033,1.0,0
2459182.48719,13.225,0.034,1.0,0
2459182.48755,13.288,0.034,1.0,0
2459182.48792,13.197,0.036,1.0,0
2459182.48829,13.168,0.032,1.0,0
2459182.48866,13.154,0.032,1.0,0
2459182.48903,13.154,0.035,1.0,0
2459182.4894,13.15,0.032,1.0,0
2459182.48978,13.133,0.033,1.0,0
2459182.49015,13.094,0.032,1.0,0
2459182.49089,13.069,0.033,1.0,0
2459182.49163,13.072,0.031,1.0,0
2459182.492,13.004,0.026,1.0,0
2459182.49237,13.002,0.025,1.0,0
2459182.49274,12.986,0.028,1.0,0
2459182.49311,12.967,0.026,1.0,0
2459182.49347,12.987,0.028,1.0,0
2459182.49384,12.914,0.026,1.0,0
2459182.49421,12.843,0.024,1.0,0
2459182.49458,12.917,0.025,1.0,0
2459182.49495,12.875,0.028,1.0,0
2459182.49532,12.865,0.029,1.0,0
2459182.49569,12.85,0.027,1.0,0
2459182.49606,12.836,0.029,1.0,0
2459182.49643,12.816,0.025,1.0,0
2459182.4968,12.822,0.026,1.0,0
2459182.49754,12.783,0.023,1.0,0
2459182.49791,12.752,0.022,1.0,0
2459182.49828,12.743,0.023,1.0,0
2459182.49865,12.775,0.025,1.0,0
2459182.49902,12.746,0.021,1.0,0
2459182.49939,12.726,0.022,1.0,0
2459182.49975,12.76,0.022,1.0,0
2459182.50012,12.73,0.025,1.0,0
2459182.53597,12.73,0.026,1.0,0
2459182.53633,12.764,0.026,1.0,0
2459182.5367,12.722,0.022,1.0,0
2459182.53707,12.736,0.023,1.0,0
2459182.53744,12.767,0.021,1.0,0
2459182.53781,12.792,0.023,1.0,0
2459182.53818,12.785,0.024,1.0,0
2459182.53855,12.819,0.02,1.0,0
2459182.53892,12.789,0.02,1.0,0
2459182.53929,12.835,0.02,1.0,0
2459182.53966,12.832,0.021,1.0,0
2459182.5404,12.844,0.02,1.0,0
2459182.54114,12.856,0.025,1.0,0
2459182.54188,12.887,0.022,1.0,0
2459182.54224,12.896,0.023,1.0,0
2459182.54261,12.913,0.024,1.0,0
2459182.54298,12.927,0.023,1.0,0
2459182.54335,12.931,0.024,1.0,0
2459182.54372,12.957,0.025,1.0,0
2459182.54409,12.951,0.025,1.0,0
2459182.54446,12.98,0.026,1.0,0
2459182.54483,13.037,0.026,1.0,0
2459182.5452,13.04,0.024,1.0,0
2459182.54557,13.078,0.026,1.0,0
2459182.54668,13.102,0.025,1.0,0
2459182.54706,13.16,0.026,1.0,0
2459182.54743,13.115,0.028,1.0,0
2459182.5478,13.103,0.027,1.0,0
2459182.54817,13.134,0.028,1.0,0
2459182.54854,13.09,0.027,1.0,0
2459182.5489,13.179,0.03,1.0,0
2459182.54927,13.188,0.029,1.0,0
2459182.54964,13.156,0.028,1.0,0
2459182.55001,13.19,0.029,1.0,0
2459182.55038,13.218,0.03,1.0,0
2459182.55075,13.192,0.028,1.0,0
2459182.55112,13.185,0.029,1.0,0
2459182.55149,13.218,0.032,1.0,0
2459182.5526,13.267,0.03,1.0,0
2459182.55297,13.207,0.028,1.0,0
2459182.55334,13.204,0.028,1.0,0
2459182.55371,13.294,0.033,1.0,0
2459182.55445,13.292,0.034,1.0,0
2459182.55482,13.326,0.035,1.0,0
2459182.55519,13.308,0.038,1.0,0
2459182.39479,12.834,0.071,1.0,1
2459182.39491,12.856,0.068,1.0,1
2459182.39504,12.839,0.069,1.0,1
2459182.39598,12.803,0.09,1.0,1
2459182.39611,12.731,0.1,1.0,1
2459182.39624,12.875,0.111,1.0,1
2459182.39651,12.658,0.076,1.0,1
2459182.39664,12.709,0.063,1.0,1
2459182.39678,12.773,0.091,1.0,1
2459182.3969,12.744,0.064,1.0,1
2459182.39704,12.745,0.065,1.0,1
2459182.39717,12.779,0.065,1.0,1
2459182.39731,12.775,0.055,1.0,1
2459182.39744,12.705,0.052,1.0,1
2459182.3977,12.73,0.047,1.0,1
2459182.39783,12.751,0.042,1.0,1
2459182.39797,12.76,0.044,1.0,1
2459182.39809,12.805,0.047,1.0,1
2459182.39824,12.784,0.054,1.0,1
2459182.39836,12.739,0.039,1.0,1
2459182.3985,12.652,0.039,1.0,1
2459182.39863,12.83,0.054,1.0,1
2459182.39877,12.771,0.054,1.0,1
2459182.39889,12.822,0.106,1.0,1
2459182.39903,12.693,0.082,1.0,1
2459182.39916,12.737,0.101,1.0,1
2459182.39943,12.666,0.09,1.0,1
2459182.39957,12.856,0.096,1.0,1
2459182.39969,12.684,0.06,1.0,1
2459182.39983,12.546,0.043,1.0,1
2459182.39996,12.663,0.045,1.0,1
2459182.4001,12.698,0.045,1.0,1
2459182.40022,12.611,0.036,1.0,1
2459182.40035,12.646,0.034,1.0,1
2459182.40049,12.596,0.033,1.0,1
2459182.40062,12.503,0.046,1.0,1
2459182.40076,12.592,0.069,1.0,1
2459182.40115,12.59,0.051,1.0,1
2459182.40129,12.662,0.035,1.0,1
2459182.40142,12.798,0.041,1.0,1
2459182.40156,12.725,0.04,1.0,1
2459182.40168,12.663,0.043,1.0,1
2459182.40182,12.675,0.039,1.0,1
2459182.40195,12.65,0.04,1.0,1
2459182.40209,12.666,0.037,1.0,1
2459182.40222,12.662,0.045,1.0,1
2459182.40236,12.695,0.035,1.0,1
2459182.40248,12.678,0.029,1.0,1
2459182.40262,12.696,0.029,1.0,1
2459182.40275,12.635,0.028,1.0,1
2459182.40289,12.68,0.03,1.0,1
2459182.40302,12.695,0.028,1.0,1
2459182.40314,12.59,0.031,1.0,1
2459182.40342,12.549,0.036,1.0,1
2459182.40355,12.637,0.029,1.0,1
2459182.40367,12.608,0.026,1.0,1
2459182.40382,12.654,0.027,1.0,1
2459182.40394,12.664,0.027,1.0,1
2459182.40408,12.64,0.026,1.0,1
2459182.40421,12.636,0.026,1.0,1
2459182.40434,12.655,0.026,1.0,1
2459182.40447,12.644,0.025,1.0,1
2459182.40461,12.706,0.027,1.0,1
2459182.40474,12.652,0.026,1.0,1
2459182.40488,12.721,0.032,1.0,1
2459182.40501,12.64,0.025,1.0,1
2459182.40514,12.594,0.025,1.0,1
2459182.40527,12.638,0.026,1.0,1
2459182.4054,12.626,0.026,1.0,1
2459182.40554,12.604,0.024,1.0,1
2459182.40567,12.581,0.024,1.0,1
2459182.4058,12.587,0.025,1.0,1
2459182.40593,12.622,0.026,1.0,1
2459182.40607,12.672,0.033,1.0,1
2459182.4062,12.634,0.028,1.0,1
2459182.40634,12.575,0.028,1.0,1
2459182.40647,12.529,0.028,1.0,1
2459182.4066,12.604,0.028,1.0,1
2459182.40673,12.639,0.03,1.0,1
2459182.40687,12.525,0.024,1.0,1
2459182.40699,12.588,0.026,1.0,1
2459182.40714,12.647,0.028,1.0,1
2459182.40726,12.581,0.025,1.0,1
2459182.4074,12.578,0.026,1.0,1
2459182.40753,12.551,0.025,1.0,1
2459182.40767,12.599,0.025,1.0,1
2459182.40779,12.56,0.024,1.0,1
2459182.40792,12.61,0.025,1.0,1
2459182.40806,12.517,0.024,1.0,1
2459182.40819,12.611,0.025,1.0,1
2459182.40833,12.528,0.024,1.0,1
2459182.40859,12.585,0.025,1.0,1
2459182.40872,12.582,0.026,1.0,1
2459182.40885,12.57,0.025,1.0,1
2459182.40899,12.583,0.026,1.0,1
2459182.40912,12.59,0.025,1.0,1
2459182.40925,12.573,0.024,1.0,1
2459182.40938,12.529,0.022,1.0,1
2459182.40952,12.613,0.025,1.0,1
2459182.40965,12.532,0.022,1.0,1
2459182.40979,12.536,0.022,1.0,1
2459182.40991,12.508,0.022,1.0,1
2459182.41004,12.564,0.023,1.0,1
2459182.41018,12.523,0.022,1.0,1
2459182.41031,12.592,0.028,1.0,1
2459182.41044,12.518,0.023,1.0,1
2459182.41057,12.524,0.023,1.0,1
2459182.4107,12.537,0.022,1.0,1
2459182.41084,12.522,0.023,1.0,1
2459182.41097,12.511,0.022,1.0,1
2459182.41111,12.488,0.022,1.0,1
2459182.41123,12.551,0.024,1.0,1
2459182.41137,12.511,0.023,1.0,1
2459182.4115,12.516,0.025,1.0,1
2459182.41163,12.52,0.023,1.0,1
2459182.41177,12.518,0.028,1.0,1
2459182.41189,12.505,0.025,1.0,1
2459182.41203,12.531,0.026,1.0,1
2459182.41216,12.534,0.022,1.0,1
2459182.4123,12.566,0.023,1.0,1
2459182.41242,12.537,0.024,1.0,1
2459182.41257,12.528,0.024,1.0,1
2459182.41269,12.517,0.033,1.0,1
2459182.41283,12.517,0.031,1.0,1
2459182.41349,12.503,0.022,1.0,1
2459182.41362,12.565,0.023,1.0,1
2459182.41376,12.52,0.022,1.0,1
2459182.41388,12.537,0.023,1.0,1
2459182.41402,12.496,0.022,1.0,1
2459182.41415,12.557,0.022,1.0,1
2459182.41429,12.524,0.027,1.0,1
2459182.41442,12.502,0.034,1.0,1
2459182.41454,12.514,0.03,1.0,1
2459182.41468,12.535,0.03,1.0,1
2459182.41481,12.513,0.026,1.0,1
2459182.41495,12.479,0.039,1.0,1
2459182.41507,12.512,0.027,1.0,1
2459182.4152,12.46,0.023,1.0,1
2459182.41534,12.529,0.025,1.0,1
2459182.41547,12.506,0.023,1.0,1
2459182.41561,12.511,0.023,1.0,1
2459182.41574,12.575,0.028,1.0,1
2459182.41587,12.516,0.022,1.0,1
2459182.416,12.493,0.022,1.0,1
2459182.41614,12.465,0.025,1.0,1
2459182.41627,12.476,0.05,1.0,1
2459182.41641,12.501,0.032,1.0,1
2459182.41653,12.446,0.041,1.0,1
2459182.41667,12.392,0.024,1.0,1
2459182.41694,12.424,0.023,1.0,1
2459182.41707,12.443,0.033,1.0,1
2459182.4172,12.495,0.022,1.0,1
2459182.41733,12.508,0.028,1.0,1
2459182.41746,12.474,0.022,1.0,1
2459182.4176,12.465,0.021,1.0,1
2459182.41772,12.478,0.025,1.0,1
2459182.41787,12.499,0.028,1.0,1
2459182.41799,12.512,0.025,1.0,1
2459182.41813,12.509,0.022,1.0,1
2459182.41826,12.543,0.024,1.0,1
2459182.4184,12.524,0.023,1.0,1
2459182.41852,12.547,0.029,1.0,1
2459182.41865,12.533,0.023,1.0,1
2459182.43793,13.007,0.014,1.0,2
2459182.4382,12.996,0.014,1.0,2
2459182.43847,13.008,0.014,1.0,2
2459182.43873,12.997,0.014,1.0,2
2459182.439,13.008,0.014,1.0,2
2459182.43927,13.047,0.014,1.0,2
2459182.43953,13.026,0.014,1.0,2
2459182.4398,13.077,0.016,1.0,2
2459182.44006,13.069,0.014,1.0,2
2459182.44033,13.066,0.014,1.0,2
2459182.4406,13.086,0.014,1.0,2
2459182.44086,13.104,0.015,1.0,2
2459182.44113,13.142,0.014,1.0,2
2459182.44193,13.157,0.015,1.0,2
2459182.4422,13.129,0.015,1.0,2
2459182.44246,13.158,0.018,1.0,2
2459182.44326,13.166,0.015,1.0,2
2459182.44352,13.22,0.016,1.0,2
2459182.44379,13.243,0.017,1.0,2
2459182.44406,13.214,0.018,1.0,2
2459182.44432,13.216,0.016,1.0,2
2459182.44459,13.28,0.018,1.0,2
2459182.44485,13.276,0.016,1.0,2
2459182.44512,13.302,0.017,1.0,2
2459182.44539,13.266,0.018,1.0,2
2459182.44565,13.288,0.018,1.0,2
2459182.44592,13.321,0.017,1.0,2
2459182.44619,13.326,0.018,1.0,2
2459182.44645,13.345,0.018,1.0,2
2459182.44672,13.376,0.018,1.0,2
2459182.44699,13.393,0.018,1.0,2
2459182.44725,13.376,0.018,1.0,2
2459182.44752,13.405,0.018,1.0,2
2459182.44778,13.403,0.018,1.0,2
2459182.44805,13.405,0.018,1.0,2
2459182.44832,13.47,0.018,1.0,2
2459182.44858,13.465,0.019,1.0,2
2459182.44885,13.513,0.02,1.0,2
2459182.44912,13.515,0.019,1.0,2
2459182.44938,13.538,0.02,1.0,2
2459182.44965,13.531,0.02,1.0,2
2459182.44992,13.53,0.019,1.0,2
2459182.45018,13.543,0.02,1.0,2
2459182.45046,13.541,0.02,1.0,2
2459182.45072,13.6,0.02,1.0,2
2459182.45099,13.591,0.021,1.0,2
2459182.45126,13.598,0.02,1.0,2
2459182.45152,13.638,0.021,1.0,2
2459182.45232,13.659,0.022,1.0,2
2459182.45259,13.653,0.022,1.0,2
2459182.45285,13.647,0.022,1.0,2
2459182.45312,13.675,0.022,1.0,2
2459182.45339,13.651,0.021,1.0,2
2459182.45365,13.716,0.022,1.0,2
2459182.45392,13.698,0.022,1.0,2
2459182.45418,13.75,0.023,1.0,2
2459182.45445,13.73,0.021,1.0,2
2459182.45472,13.755,0.023,1.0,2
2459182.45498,13.744,0.023,1.0,2
2459182.45525,13.735,0.023,1.0,2
2459182.45552,13.765,0.023,1.0,2
2459182.45605,13.805,0.024,1.0,2
2459182.45685,13.745,0.023,1.0,2
2459182.45711,13.773,0.023,1.0,2
2459182.45738,13.738,0.023,1.0,2
2459182.45765,13.758,0.024,1.0,2
2459182.45791,13.777,0.025,1.0,2
2459182.45818,13.719,0.023,1.0,2
2459182.45845,13.721,0.024,1.0,2
2459182.45871,13.748,0.023,1.0,2
2459182.45897,13.778,0.022,1.0,2
2459182.45951,13.776,0.024,1.0,2
